,content
541,"Gentlemen,I continue to speak to an attorney for help with the investment structureand a mortgage broker for help with the financing.  Regarding the financing,I am working with Jim Murnan at Pinnacle Mortgage here in Houston.  I havesent him some information on the project, but he needs financial information(713)781-5810, fax (713)781-6614, and email jim123@pdq.net.I know Larry has been working with a bank and they need my information.  Ihope to pull that together this afternoon.I took the liberty of calling Thomas Reames from the Frog Pond document.  Hewas positive about his experience overall.  He did not seem pleased with thebookkeeping or information flow to the investor.  I think we should discussthese procedures in advance.Let's continue to speak or email frequently as new developments occur.Phillip"
542,"Jim,I would appreciate your help in locating financing for the project Idescribed to you last week.  The project is a 134 unit apartment complex inSan Marcos.  There will be a builder/developer plus myself and possibly acouple of other investors involved.  As I mentioned last week, I would liketo find interim financing (land, construction, semi-perm) that does notrequire the investors to personally guarantee.  If there is a creative way tostructure the deal, I would like to hear your suggestions.  One idea that hasbeen mentioned is to obtain a ""forward commitment"" in order to reduce theequity required.  I would also appreciate hearing from you how deals of thisnature are normally financed.  Specifically, the transition from interim topermanent financing.  I could use a quick lesson in what numbers will beimportant to banks.I am faxing you a project summary.  And I will have the builder/developeremail or fax his financial statement to you.Let me know what else you need.  The land is scheduled to close mid January.Phillip Allen"
543,"Jeff,Everything should be done for closing on the Leander deal on the 29th.  Ihave fed ex'd the closing statements and set up a wire transfer to go outtomorrow.    When will more money be required?  Escrow for roads?  Utilityconnections?  Other rezoning costs?What about property taxes?  The burnet land lost its ag exemption while Iowned it.  Are there steps we can take to hold on to the exemption on thisproperty?  Can you explain the risks and likelihood of any rollback taxesonce the property is rezoned?  Do we need to find a farmer and give himgrazing rights?What are the important dates coming up and general status of rezoning andannexing?  I am worried about the whole country slipping into a recession andAmerican Multifamily walking on this deal.  So I just want to make sure weare pushing the process as fast as we can.Phillip"
544,"Faith,Name   TitleTradingPhillip Allen  VPMike Grigsby  DirectorKeith Holst  Manager(possible Director)Janie Tholt  DirectorSteve South  DirectorFrank Ermis  ManagerTori Kuykendall  ManagerMatt Lenhart  Analyst(possible associate)Monique Sanchez Commercial Support ManagerJay Reitmeyer  Senior SpecialistIna Rangel  Assistant (split costs with middle market)MarketingBarry Tycholiz  DirectorMark Whitt  DirectorPaul Lucci  Manager (possible Director)2-3 TBDDo I need to give you the names of our operations group?Special Pays-  I believe Mike Grigsby has a retention payment due this year.Also we should budget for another $150,000 of special payments.I know you have been working with Barry T.  if his headcount is different onthe Marketing staff use his numbers.  Let me know if there is anything elseyou need.Phillip"
545,"Steve,I am sending you a variety of charts with prices and operational detail.  Ifyou need to call with questions my home number is 713-463-8626.1.  Examine LDC's incentive rate program.  Current methodology rewards salesabove monthly index without enough consideration of futurereplacement cost.  The result is that the LDC's sell gas that should beinjected into storage when daily prices run above the monthly index.This creates a shortage in later months.2.  California has the storage capacity and pipeline capacity to meetdemand.  Investigate why it wasn't maximized operationally.1.  Why in March '00-May '00  weren't total system receipts higher in orderto fill storage?2.  Why are there so many examples of OFO's on weekends that push away toomuch gas from Socal's system.I believe Socal gas does an extremely poor job of forecasting theirown demand.  They repeatedly estimated they would receive       more gas thantheir injection capablity, but injected far less.3.  Similar to the power market,  there is too much benchmarking to shortterm prices.  Not enough forward hedging is done by the majorLDCs.  By design the customers are short at a floatingrate.  This market has been long historically.  It has been a buyers marketand theconsumer has benefitted.Call me if you need any more input.Phillip"
546,Monique SanchezJay ReitmeyerRandy GayMatt Lenhart
547,"John,Here is our North of Stanfield forecast for Jan.Supply    Jan '01   Dec '00   Jan '00Sumas   900   910   815Jackson Pr.  125    33   223Roosevelt  300   298   333Total Supply  1325   1241   1371DemandNorth of Chehalis 675   665   665South of Chehalis 650   575   706Total Demand  1325   1240   1371Roosevelt capacity is 495.Let me know how your forecast differs.Phillip"
548,Please assign global id's to the four junior traders listed on Dawn'soriginal email.  The are all trading and need to have unique id's.Thank you
549,Received the fax.  Thank you.  I might have to sell the QQQ and take the lossfor taxes.  But I would roll right into a basket of individual technologystocks.  I think I mentioned this to you previously that I have decided touse this account for the kids college.
550,Fax number 713-646-2391
551,"barry.tycholiz@enron.comPLEASE APPROVE HIM FOR THIS.  PHILLIP WILL NOT BE ABLE TO GET INTO HIS EMAILSYSTEM TO DO THIS.IF YOU HAVE ANY QUESTIONS, OR PROBLEMS, PLEASE CALL ME AT  X3-7257.THANK YOU.INA.IF THIS IS A PROBLEM TO DO IT THIS WAY PLEASE CALL ME AND I WILL WALK PHILLIPTHROUGH THE STEPS TO APPROVE.  IF YOU CALL HIM, HE WILL DIRECT IT TO MEANYWAY.This request has been pending your approval for  5 days.  Please clickApproval to review and act upon this request."
552,"George & Larry,If possible,  I would like to get together in Columbus as Larry suggested.Thursday afternoon is the only day that really works for me.I will try to email you any questions I have from the latest proformatomorrow.Phillip"
553,"Jeff,Hear is a new NOI file.  I have added an operating statement for 1999(partial year).I will try to email you some photos soon.Phillip"
554,"Jeff,The files attached contain a current rentroll, 2000 operating statement, anda proforma operating statement."
555,"Faith,Name   TitleTradingPhillip Allen  VPMike Grigsby  DirectorKeith Holst  Manager(possible Director)Janie Tholt  DirectorSteve South  DirectorFrank Ermis  ManagerTori Kuykendall  ManagerMatt Lenhart  Analyst(possible associate)Monique Sanchez Commercial Support ManagerJay Reitmeyer  Senior SpecialistIna Rangel  Assistant (split costs with middle market)MarketingBarry Tycholiz  DirectorMark Whitt  DirectorPaul Lucci  Manager (possible Director)2-3 TBDDo I need to give you the names of our operations group?Special Pays-  I believe Mike Grigsby has a retention payment due this year.Also we should budget for another $150,000 of special payments.I know you have been working with Barry T.  if his headcount is different onthe Marketing staff use his numbers.  Let me know if there is anything elseyou need.Phillip"
556,Yes. Trading reports to Whalley.  He is Lavorato's boss.
557,"Larry,10 AM tomorrow is good for me.  If you want to email me anything tonight,please use pallen70@hotmail.com.Phillip"
558,"Lucy,I want to get the lease data and tenant data updated.The critical information is  1.  Move in or lease start date2.  Lease expiration date3.  Rent4.  DepositIf you have the info you canfill in these items  1.  Number of occupants2.  WorkplaceAll the new leases should be the long form.The apartments that have new tenants since these columns have been updatedback in October are  #3,5,9,11,12,17,21,22,23,25,28,33,38.I really need to get this by tomorrow.  Please use the rentroll_1215 file toinput the correct information on all these tenants.  And email it to metomorrow.  You should have all this information on their leases andapplications.Phillip"
559,"Lucy,Here is a new file for 12/15.#23 & #24 did not pay.  Just late or moving?#25 & #33 Both paid 130 on 12/01 and $0 on 12/08.  What is the deal?#11  Looks like she is caught up.  When is she due again?Please email the answers.Phillip"
560,"Enron North America Corp.Phillip -- Is the value axis on Sheet 2 of the ""socalprices"" spread sheetsupposed to be in $?  If so, are they the right values (millions?) and wheredid they come from?  I can't relate them to the Sheet 1 spread sheet.As I told Mike, we will file this out-of-time tomorrow as a supplement to ourcomments today along with a cover letter.  We have to fully understand thecharts and how they are constructed, and we ran out of time today.  It's muchbetter to file an out-of-time supplement to timely comments than to file thewhole thing late, particuarly since this is apparently on such a fast track.Thanks.Dasovich/NA/Enron@ENRON, Joe Hartsoe/Corp/Enron@ENRON, Mary Hain/HOU/ECT@ECT,pallen@enron.com, pkaufma@enron.com, Richard B Sanders/HOU/ECT@ECT, RichardShapiro/NA/Enron@ENRON, Stephanie Miller/Corp/Enron@ENRON, Steven JKean/NA/Enron@ENRON, Susan J Mara/NA/Enron@ENRON, Rebecca WCantrell/HOU/ECT@ECTAs prices rose, supply increased and demand decreased.  Now prices arebeginning to fall in response these market responses."
